rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2025-03-18 12-58-46,img000270.png,913,268,1053,359,851,294,762,325,714,410,680,479,591,485,618,446,,,,,846,500,818,541,,,1014,408,903,414,794,454,787,522,818,492,,
labeled-data,2025-03-18 12-58-46,img001511.png,886,229,1072,164,863,261,751,320,720,388,700,478,640,488,580,494,,,,,860,502,816,546,,,1020,416,939,361,808,465,786,521,821,492,1011,387
labeled-data,2025-03-18 12-58-46,img001581.png,942,266,1044,405,856,286,750,331,717,405,703,481,594,485,,,,,,,857,499,826,555,,,1009,439,934,426,800,468,787,524,824,493,,
labeled-data,2025-03-18 12-58-46,img001712.png,841,298,935,267,833,298,733,353,724,412,703,481,636,513,583,495,,,,,,,854,515,,,,,872,374,834,435,812,496,,,,
labeled-data,2025-03-18 12-58-46,img002158.png,877,249,1064,182,837,282,737,358,714,432,696,481,599,488,,,,,,,873,505,821,557,,,1004,403,927,388,808,475,799,534,830,492,1007,354
labeled-data,2025-03-18 12-58-46,img002580.png,873,259,989,352,855,283,758,345,746,411,727,490,648,520,581,504,,,,,,,889,514,,,968,405,905,379,865,448,844,507,,,,
labeled-data,2025-03-18 12-58-46,img003107.png,924,168,1088,99,882,220,797,322,748,392,712,460,630,472,570,523,,,,,867,494,832,534,,,1006,412,962,327,831,454,806,520,839,485,1049,215
labeled-data,2025-03-18 12-58-46,img003504.png,920,270,1034,375,860,271,761,306,726,405,709,479,649,461,599,467,,,,,875,479,848,537,,,986,400,906,397,818,463,818,515,843,473,,
labeled-data,2025-03-18 12-58-46,img004169.png,875,224,1017,130,857,255,746,326,713,396,694,483,619,495,591,474,,,,,832,475,816,543,,,972,406,924,356,807,455,783,513,,,1015,301
labeled-data,2025-03-18 12-58-46,img004322.png,889,189,955,142,849,231,760,301,724,376,696,471,604,493,592,473,,,,,846,481,810,537,,,,,923,271,814,444,787,513,,,,
labeled-data,2025-03-18 12-58-46,img006156.png,939,349,976,428,902,337,788,298,715,342,670,432,577,442,499,456,,,,,,,804,505,,,,,,,797,412,779,478,,,,
labeled-data,2025-03-18 12-58-46,img009344.png,901,296,1012,376,817,280,741,316,703,394,686,472,606,508,541,495,527,451,,,855,483,827,539,,,988,393,904,406,793,454,782,516,815,482,936,443
labeled-data,2025-03-18 12-58-46,img009886.png,743,329,,,,,794,345,790,392,774,446,704,485,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,2025-03-18 12-58-46,img011308.png,857,180,,,812,225,764,284,713,367,687,433,644,485,,,,,,,,,808,454,,,,,,,798,389,774,448,,,,
labeled-data,2025-03-18 12-58-46,img012218.png,896,307,965,374,863,318,736,322,701,395,693,450,653,455,,,,,,,858,474,801,499,,,985,394,902,421,791,435,786,487,821,463,,
labeled-data,2025-03-18 12-58-46,img012645.png,,,,,,,581,309,647,388,674,441,780,511,649,527,,,551,393,542,466,,,,,,,,,,,,,,,,
labeled-data,2025-03-18 12-58-46,img012991.png,905,198,1055,115,872,240,805,310,752,363,716,429,644,440,569,458,,,,,862,471,823,505,,,986,398,927,324,801,437,798,484,846,459,1022,308
labeled-data,2025-03-18 12-58-46,img013002.png,933,219,931,149,860,260,795,313,755,371,726,434,653,442,595,449,551,503,,,868,465,819,501,,,983,407,915,357,813,451,792,486,840,457,1026,337
labeled-data,2025-03-18 12-58-46,img013356.png,,,,,,,473,307,519,387,542,429,627,448,738,483,822,460,,,,,,,,,,,,,,,,,,,,
labeled-data,2025-03-18 12-58-46,img013358.png,,,,,,,473,310,509,385,537,425,615,445,719,477,817,461,429,390,,,,,,,,,,,,,,,,,,
labeled-data,2025-03-18 12-58-46,img014480.png,,,,,,,686,299,756,347,791,414,901,408,960,464,938,566,655,405,656,466,,,594,395,,,,,,,,,686,465,592,444
labeled-data,2025-03-18 12-58-46,img014700.png,888,302,983,308,836,321,735,319,696,363,653,411,580,408,522,445,554,495,,,,,,,,,888,481,856,437,755,411,742,463,,,,
labeled-data,2025-03-18 12-58-46,img016057.png,883,367,935,495,854,350,746,298,684,354,648,426,567,456,557,520,608,588,,,,,803,492,,,860,498,831,450,782,413,756,476,,,,
labeled-data,2025-03-18 12-58-46,img017348.png,700,189,708,50,700,236,672,338,660,415,670,502,609,559,528,555,,,,,,,814,479,,,808,181,790,238,770,413,769,478,,,807,155
labeled-data,2025-03-18 12-58-46,img017450.png,737,168,738,55,744,236,744,324,734,399,696,482,648,537,531,556,,,,,,,823,453,,,,,,,809,406,793,462,,,,
labeled-data,2025-03-18 12-58-46,img017927.png,589,190,608,81,612,244,635,306,661,364,673,420,745,428,813,446,797,487,585,378,572,466,566,436,532,262,,,,,,,580,435,600,449,464,226
labeled-data,2025-03-18 12-58-46,img018013.png,633,179,654,102,640,240,653,299,670,363,685,436,753,429,812,446,797,494,591,400,579,463,567,435,598,232,530,213,,,,,581,435,601,448,561,183
labeled-data,2025-03-18 12-58-46,img018828.png,,,,,,,573,314,658,350,703,414,795,426,857,487,,,,,,,,,,,,,,,,,,,,,,
labeled-data,2025-03-18 12-58-46,img019632.png,710,186,711,47,736,230,710,316,693,382,662,460,596,463,543,465,,,,,823,471,794,506,,,855,162,832,217,787,421,776,481,791,465,844,145
labeled-data,2025-03-18 12-58-46,img019668.png,708,187,706,50,714,245,700,322,681,391,662,449,588,460,547,457,,,,,825,470,797,498,,,846,177,807,226,774,435,771,483,790,469,843,154
labeled-data,2025-03-18 12-58-46,img020451.png,881,238,1022,290,852,257,750,305,711,371,673,443,594,474,567,458,,,,,,,805,516,,,,,,,802,446,774,493,,,,
labeled-data,2025-03-18 12-58-46,img020533.png,860,172,988,99,836,233,763,302,715,375,676,449,601,478,568,467,,,,,809,479,821,515,,,985,249,926,268,806,431,774,492,,,973,192
labeled-data,2025-03-18 12-58-46,img022109.png,,,,,,,875,322,783,413,748,462,646,472,546,522,,,,,,,884,504,,,,,,,886,426,853,496,,,,
labeled-data,2025-03-18 12-58-46,img022383.png,,,585,410,,,491,297,492,383,502,432,586,467,684,501,790,484,423,387,430,476,,,,,,,,,560,374,,,,,,
labeled-data,2025-03-18 12-58-46,img022741.png,883,356,937,457,839,328,740,296,685,345,639,405,547,412,498,461,,,,,,,765,483,,,834,489,819,429,750,412,739,463,,,,
labeled-data,2025-03-18 12-58-46,img022920.png,918,397,952,515,862,362,814,312,708,338,656,399,591,407,523,430,,,,,,,766,485,,,855,499,822,451,759,409,740,461,,,,
labeled-data,2025-03-18 12-58-46,img024760.png,864,234,1029,184,850,253,739,335,716,411,679,492,562,480,,,,,,,,,863,527,,,982,308,917,337,841,447,821,518,,,969,272
labeled-data,2025-03-18 12-58-46,img025329.png,899,188,1060,165,867,241,787,305,743,365,707,445,586,476,,,,,,,878,497,816,525,,,991,408,940,350,806,438,788,497,832,472,1048,258
