rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Camera4_stitched,img001506.png,484,426,420,574,548,405,616,383,684,363,788,438,786,417,,,,,714,470,666,539,,,532,540,,,,,,,,,711,521,512,573
labeled-data,Camera4_stitched,img004219.png,808,415,918,452,754,393,667,339,582,395,520,430,453,448,466,541,562,593,,,,,669,510,,,796,550,722,500,638,443,635,500,,,,
labeled-data,Camera4_stitched,img004441.png,,,,,493,330,569,338,644,391,694,439,808,432,837,530,728,579,586,423,536,499,,,450,381,,,,,,,,,583,484,443,460
labeled-data,Camera4_stitched,img005472.png,327,451,,,390,399,457,372,527,348,650,415,693,389,727,374,684,417,570,462,548,542,,,433,515,,,,,,,,,574,524,394,586
labeled-data,Camera4_stitched,img005890.png,772,409,777,535,708,381,613,309,521,392,476,433,352,441,320,563,,,,,,,632,513,,,703,522,646,447,578,415,593,503,,,,
labeled-data,Camera4_stitched,img006654.png,515,443,489,581,589,388,637,335,,,,,,,,,,,,,,,,,613,521,,,,,,,,,,,581,584
labeled-data,Camera4_stitched,img008036.png,409,439,377,587,449,398,533,343,592,333,,,,,,,,,615,396,640,469,,,540,474,,,,,,,,,629,461,554,535
labeled-data,Camera4_stitched,img009489.png,798,381,,,738,372,645,331,554,422,498,475,408,455,316,430,351,450,,,,,692,530,,,831,535,774,445,648,442,658,521,,,,
labeled-data,Camera4_stitched,img009493.png,781,371,,,735,356,647,337,561,426,501,475,404,460,315,435,,,,,,,694,528,,,861,498,801,450,666,429,663,515,,,,
labeled-data,Camera4_stitched,img009498.png,776,365,,,732,355,649,341,574,417,503,473,436,470,311,429,,,,,,,688,529,,,841,502,803,420,666,448,662,521,,,,
labeled-data,Camera4_stitched,img011089.png,805,383,,,732,347,649,308,557,396,514,453,445,450,423,423,513,427,,,,,693,507,,,789,507,739,419,639,420,658,495,,,,
labeled-data,Camera4_stitched,img017279.png,676,357,714,460,639,348,580,316,534,385,534,493,635,429,738,379,833,383,,,,,,,,,,,,,,,,,,,,
labeled-data,Camera4_stitched,img017283.png,696,362,,,639,349,581,314,535,385,554,494,645,461,687,440,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Camera4_stitched,img017728.png,867,453,890,599,815,415,724,364,581,388,526,436,418,445,366,541,442,596,,,,,690,509,,,798,551,752,504,650,431,646,499,,,,
labeled-data,Camera4_stitched,img018084.png,836,393,862,506,733,329,639,315,562,403,514,462,447,482,464,548,574,597,,,,,661,513,,,798,496,748,404,639,442,631,499,,,,
labeled-data,Camera4_stitched,img020996.png,,,,,719,351,636,309,571,420,611,523,786,595,931,588,,,,,,,,,,,739,476,732,421,,,,,,,,
labeled-data,Camera4_stitched,img021469.png,,,,,738,349,663,324,613,460,657,539,767,557,864,556,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Camera4_stitched,img021769.png,733,403,713,519,683,358,597,288,504,393,465,456,387,461,318,496,319,576,,,,,,,,,669,513,616,425,,,,,,,,
labeled-data,Camera4_stitched,img022072.png,709,383,701,509,640,343,576,315,506,386,492,500,543,542,703,569,840,522,,,,,598,511,,,649,492,633,414,585,417,591,481,,,,
labeled-data,Camera4_stitched,img023727.png,652,403,,,614,348,600,284,526,366,,,521,423,498,429,467,448,,,,,,,,,549,531,555,449,,,,,,,,
labeled-data,Camera4_stitched,img023733.png,680,395,705,511,644,353,588,311,,,,,514,426,497,430,474,441,,,,,,,,,630,522,587,445,,,,,,,,
labeled-data,Camera4_stitched,img024136.png,730,371,736,483,666,347,576,303,493,395,429,482,365,502,461,585,630,569,,,,,602,500,,,675,492,642,419,574,422,576,504,,,,
labeled-data,Camera4_stitched,img024843.png,783,336,951,351,741,370,687,350,631,334,,,,,,,,,,,,,604,497,,,761,544,750,465,602,408,601,473,,,,
labeled-data,Camera4_stitched,img025216.png,788,365,,,748,363,669,318,575,412,504,459,449,453,410,428,,,,,,,690,514,,,818,504,774,428,668,453,657,505,,,,
labeled-data,Camera4_stitched,img025253.png,792,367,,,756,352,669,317,577,411,507,459,445,444,385,427,,,,,,,689,513,,,826,475,777,435,672,443,649,495,,,,
labeled-data,Camera4_stitched,img025410.png,774,369,790,480,718,336,662,291,574,396,518,462,444,459,358,449,,,,,,,683,516,,,744,493,709,426,647,433,658,508,,,,
labeled-data,Camera4_stitched,img025413.png,766,348,781,485,708,323,641,291,574,405,519,465,437,463,357,457,,,,,,,669,509,,,744,491,712,411,648,419,643,501,,,,
labeled-data,Camera4_stitched,img025561.png,771,350,,,731,325,641,300,577,406,521,462,446,465,384,475,293,492,,,,,675,502,,,776,486,730,411,651,429,644,498,,,,
labeled-data,Camera4_stitched,img026749.png,701,375,695,484,641,343,579,289,478,379,429,465,332,484,246,537,346,582,,,,,583,491,,,648,476,630,412,547,415,551,484,,,,
labeled-data,Camera4_stitched,img029076.png,769,352,,,730,323,641,287,573,390,555,430,508,418,437,436,,,,,,,639,493,,,743,496,706,417,641,416,613,482,,,,
labeled-data,Camera4_stitched,img032851.png,762,384,815,482,690,335,627,298,,,,,,,,,,,,,,,588,449,,,694,498,679,419,584,377,,,,,,
labeled-data,Camera4_stitched,img033679.png,786,372,780,461,744,346,640,292,561,392,525,445,455,450,474,419,,,,,,,661,487,,,731,475,700,419,623,393,637,478,,,,
labeled-data,Camera4_stitched,img033985.png,809,365,,,732,323,642,303,577,393,529,438,449,447,475,420,,,,,,,670,493,,,831,476,779,405,649,403,644,481,,,,
labeled-data,Camera4_stitched,img036179.png,707,368,712,491,645,343,568,301,488,394,457,529,538,598,696,599,783,595,,,,,609,517,,,665,499,633,444,595,445,578,508,,,,
labeled-data,Camera4_stitched,img036248.png,753,381,776,486,672,344,579,316,504,394,458,531,444,586,520,596,772,595,,,,,635,513,,,717,494,666,418,590,442,587,516,,,,
labeled-data,Camera4_stitched,img037393.png,774,372,,,740,356,643,296,578,411,515,486,420,488,309,507,,,,,,,717,518,,,740,491,730,416,664,413,675,513,,,,
labeled-data,Camera4_stitched,img037583.png,771,357,854,501,733,349,641,315,573,420,522,463,442,470,364,480,332,490,,,,,693,502,,,769,511,731,426,661,438,659,499,,,,
labeled-data,Camera4_stitched,img037993.png,806,376,826,490,733,349,641,312,575,408,518,469,446,477,353,489,,,,,,,710,504,,,762,487,733,398,648,422,660,501,,,,
labeled-data,Camera4_stitched,img038859.png,765,356,829,489,731,346,637,304,559,426,517,472,428,488,331,494,,,,,,,695,501,,,744,493,705,419,646,418,661,498,,,,
labeled-data,Camera4_stitched,img040473.png,700,367,,,642,344,580,289,488,374,421,418,311,412,283,491,363,530,,,,,578,481,,,648,476,631,413,547,411,544,476,,,,
labeled-data,Camera4_stitched,img042005.png,695,391,702,494,633,350,544,290,452,359,399,447,281,476,251,557,377,582,,,,,562,508,,,622,484,598,416,541,417,518,480,,,,
labeled-data,Camera4_stitched,img045288.png,697,356,723,482,646,346,580,290,480,380,448,480,355,508,253,531,218,595,,,,,585,494,,,681,488,639,415,574,417,562,486,,,,
labeled-data,Camera4_stitched,img045975.png,714,388,699,491,641,343,578,289,480,386,412,455,320,479,265,535,357,569,,,,,578,509,,,641,485,613,415,571,416,548,480,,,,
labeled-data,Camera4_stitched,img047034.png,745,375,741,468,697,335,606,282,538,382,472,433,411,421,,,,,,,,,621,489,,,688,479,643,392,596,399,588,480,,,,
labeled-data,Camera4_stitched,img047984.png,749,371,747,486,694,345,612,292,519,391,481,443,400,453,423,424,,,,,,,623,490,,,692,479,657,419,588,406,598,475,,,,
labeled-data,Camera4_stitched,img048903.png,735,384,730,487,670,346,606,289,519,389,472,442,429,450,395,443,,,,,,,621,485,,,688,484,640,417,575,414,592,476,,,,
labeled-data,Camera4_stitched,img049677.png,771,356,,,733,326,680,313,598,387,541,418,474,410,406,429,371,446,,,,,701,515,,,752,533,712,429,646,418,673,494,,,,
labeled-data,Camera4_stitched,img049688.png,,,,,515,387,648,349,768,447,812,480,850,453,,,,,665,492,645,570,,,521,457,,,,,,,,,,,568,520
labeled-data,Camera4_stitched,img051881.png,683,386,691,502,640,348,558,287,487,387,472,447,407,438,357,463,,,,,,,582,493,,,623,492,595,414,544,410,563,473,,,,
labeled-data,Camera4_stitched,img052976.png,695,357,,,641,349,552,309,456,369,391,438,297,450,249,540,,,,,,,537,497,,,663,479,633,395,541,414,513,493,,,,
labeled-data,Camera4_stitched,img053245.png,640,370,635,475,601,345,523,285,445,353,370,448,278,497,251,578,,,,,,,523,502,,,589,477,570,415,505,415,493,494,,,,
labeled-data,Camera4_stitched,img053498.png,641,372,663,476,607,356,521,293,431,371,,,281,500,241,580,,,,,,,542,479,,,612,480,578,413,513,417,512,476,,,,
labeled-data,Camera4_stitched,img055430.png,742,384,725,488,675,317,611,283,537,383,509,462,447,462,450,429,,,,,,,644,504,,,686,484,666,392,606,395,617,493,,,,
labeled-data,Camera4_stitched,img055435.png,732,348,738,465,695,318,611,284,536,386,487,471,448,464,450,431,450,419,,,,,643,497,,,695,489,669,390,606,395,611,494,,,,
labeled-data,Camera4_stitched,img055774.png,641,389,665,499,608,357,518,290,452,385,428,434,333,457,267,522,323,571,,,,,521,493,,,603,490,577,419,500,408,480,471,,,,
labeled-data,Camera4_stitched,img055800.png,641,386,667,493,609,361,523,290,449,358,420,438,355,451,282,500,319,567,,,,,508,490,,,606,497,577,418,506,413,484,476,,,,
labeled-data,Camera4_stitched,img056088.png,775,378,759,497,697,322,613,285,543,382,500,430,441,423,385,455,,,,,,,648,483,,,709,486,676,418,605,394,622,481,,,,
labeled-data,Camera4_stitched,img056561.png,796,385,822,489,742,358,654,295,579,411,524,475,477,477,421,438,,,,,,,698,508,,,755,491,739,419,664,400,668,502,,,,
labeled-data,Camera4_stitched,img057811.png,720,375,,,685,341,587,282,509,383,475,459,368,528,335,505,,,,,,,623,494,,,654,482,636,430,581,410,585,487,,,,
labeled-data,Camera4_stitched,img058287.png,768,352,,,729,323,640,288,550,385,507,429,429,452,341,513,,,,,,,617,496,,,766,488,730,396,639,395,594,479,,,,
labeled-data,Camera4_stitched,img060663.png,764,355,,,706,345,636,290,546,386,530,463,396,484,393,450,369,432,,,,,657,501,,,769,491,705,419,637,418,636,497,,,,
labeled-data,Camera4_stitched,img060891.png,792,410,791,514,703,349,637,300,558,393,518,459,420,486,390,464,376,435,,,,,650,501,,,731,525,689,449,605,419,630,493,,,,
labeled-data,Camera4_stitched,img060895.png,790,395,789,512,703,348,640,295,554,400,512,455,401,487,397,448,371,433,,,,,651,503,,,742,518,697,442,607,418,630,496,,,,
labeled-data,Camera4_stitched,img063215.png,636,374,644,496,581,349,504,286,420,356,388,451,301,495,283,580,400,596,,,,,525,495,,,583,482,559,418,499,416,504,480,,,,
labeled-data,Camera4_stitched,img063392.png,647,371,,,591,340,510,287,430,347,385,468,293,501,263,576,405,598,,,537,462,539,487,,,589,476,562,409,505,415,502,478,,,,
labeled-data,Camera4_stitched,img064379.png,660,364,,,616,330,547,294,482,383,500,474,636,456,752,453,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Camera4_stitched,img066568.png,669,367,668,481,610,346,549,290,450,380,399,476,284,510,241,540,,,,,,,551,505,,,620,489,600,416,538,419,521,495,,,,
labeled-data,Camera4_stitched,img066735.png,665,372,664,484,611,345,527,295,452,381,419,483,341,507,253,524,,,,,,,551,504,,,623,490,599,418,539,420,522,494,,,,
labeled-data,Camera4_stitched,img067504.png,676,385,670,500,619,356,528,293,450,393,402,479,289,511,218,565,,,,,,,550,507,,,601,497,578,421,513,427,532,487,,,,
labeled-data,Camera4_stitched,img071718.png,704,387,673,478,642,321,579,288,483,355,435,444,365,439,319,470,,,,,,,572,483,,,618,478,608,415,545,412,561,469,,,,
labeled-data,Camera4_stitched,img073297.png,612,380,638,481,577,352,506,284,426,333,383,472,305,478,271,519,389,558,,,,,539,504,,,586,490,569,414,507,418,505,504,,,,
labeled-data,Camera4_stitched,img074480.png,813,394,891,477,732,349,659,306,570,373,518,408,442,383,374,430,404,527,,,,,573,508,,,733,509,710,431,596,406,,,,,,
labeled-data,Camera4_stitched,img075466.png,,,,,596,354,534,319,533,439,607,478,720,436,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Camera4_stitched,img076657.png,684,375,669,468,639,319,565,275,493,357,447,464,421,459,410,435,,,,,,,601,487,,,635,478,610,394,552,408,573,467,,,,
labeled-data,Camera4_stitched,img076663.png,694,357,689,460,640,341,574,273,495,363,457,464,419,452,417,428,,,,,,,606,489,,,659,465,631,394,564,402,582,478,,,,
labeled-data,Camera4_stitched,img077138.png,711,374,,,640,340,585,291,506,376,474,456,420,456,417,436,,,,,,,616,491,,,666,474,629,410,564,418,583,474,,,,
labeled-data,Camera4_stitched,img077576.png,720,370,,,658,341,580,290,493,379,471,456,412,444,,,,,,,,,608,495,,,694,486,649,421,557,404,588,473,,,,
