rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,RAT 11 FR1 10-03-25,img00097.png,870,201,1126,137,765,249,655,303,598,412,555,537,430,549,293,552,113,653,770,485,744,583,710,673,,,959,372,899,351,692,537,681,629,,,,
labeled-data,RAT 11 FR1 10-03-25,img00157.png,895,378,997,473,812,321,698,314,612,395,539,537,399,513,264,505,169,649,,,752,588,705,667,,,942,534,896,491,702,514,668,622,,,927,556
labeled-data,RAT 11 FR1 10-03-25,img00179.png,933,310,,,866,317,713,303,603,422,541,552,381,545,222,565,133,670,,,737,578,706,659,,,923,542,861,445,,,,,,,,
labeled-data,RAT 11 FR1 10-03-25,img00309.png,,,,,,,825,318,770,475,,,581,619,351,686,,,,,,,,,,,,,,,,,,,,,,
labeled-data,RAT 11 FR1 10-03-25,img00985.png,1002,400,,,933,369,809,301,682,419,591,535,442,500,,,,,,,,,798,658,,,1136,448,982,476,779,491,766,607,,,944,591
labeled-data,RAT 11 FR1 10-03-25,img01027.png,899,315,,,880,340,759,297,631,436,567,547,377,554,396,521,514,513,,,,,792,649,,,972,535,916,450,750,504,,,,,,
labeled-data,RAT 11 FR1 10-03-25,img01560.png,964,176,1198,95,893,237,775,271,678,457,637,562,480,563,322,570,,,,,832,595,813,678,,,1091,422,997,383,796,525,792,619,,,1061,308
labeled-data,RAT 11 FR1 10-03-25,img01578.png,,,,,,,,,,,637,562,504,564,387,556,315,638,864,497,837,593,828,674,948,253,815,198,753,254,780,524,792,645,,,924,217
labeled-data,RAT 11 FR1 10-03-25,img01633.png,,,,,,,,,,,628,560,475,560,351,563,,,,,,,,,,,819,137,776,228,,,,,,,851,151
labeled-data,RAT 11 FR1 10-03-25,img01693.png,966,455,1030,595,882,379,778,304,652,388,610,554,472,553,346,563,316,642,,,,,801,658,,,938,614,902,558,764,529,774,641,,,,
labeled-data,RAT 11 FR1 10-03-25,img01830.png,975,485,,,897,401,786,337,679,392,623,464,477,422,389,485,506,527,,,,,744,556,,,,,,,732,478,708,544,,,,
labeled-data,RAT 11 FR1 10-03-25,img01949.png,631,134,,,613,211,612,320,650,442,758,535,878,531,964,450,824,401,539,480,544,576,,,,,,,,,711,418,,,615,570,,
labeled-data,RAT 11 FR1 10-03-25,img01960.png,627,155,,,625,247,641,347,683,465,751,544,891,549,988,474,856,404,577,491,560,572,,,,,,,,,,,,,606,580,,
labeled-data,RAT 11 FR1 10-03-25,img02011.png,,,,,,,692,329,600,457,635,571,776,620,902,594,,,,,,,,,,,,,,,,,,,,,,
labeled-data,RAT 11 FR1 10-03-25,img02045.png,,,,,,,592,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,RAT 11 FR1 10-03-25,img02434.png,935,454,,,859,360,701,319,611,438,554,565,425,550,287,544,211,647,,,805,590,817,671,,,,,,,773,518,772,631,,,,
labeled-data,RAT 11 FR1 10-03-25,img03003.png,,,,,,,803,353,707,537,,,,,,,,,,,,,923,679,,,,,,,891,580,845,685,,,,
labeled-data,RAT 11 FR1 10-03-25,img03376.png,,,,,825,261,758,340,711,496,683,596,593,672,411,706,,,,,,,866,601,,,,,,,865,485,829,587,,,,
labeled-data,RAT 11 FR1 10-03-25,img03540.png,,,,,,,754,365,678,588,631,707,430,715,230,715,,,,,,,998,707,953,545,1015,429,958,445,893,544,885,693,,,1003,530
