rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Rat 9 2025-11-11 11-09-35,img001146.png,989,495,1014,707,827,388,638,300,457,405,371,536,231,606,62,690,,,,,,,664,678,,,839,660,806,614,611,506,564,660,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img002293.png,,,,,,,467,294,558,455,740,670,932,710,,,,,406,542,,,,,300,499,,,,,,,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img006878.png,,,,,901,243,684,264,529,449,426,651,,,,,,,,,,,,,,,,,,,634,599,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img008025.png,893,399,,,823,371,654,350,547,495,477,655,,,,,,,,,,,,,,,,,887,536,745,544,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img009171.png,903,276,1070,368,770,298,641,318,560,424,500,554,335,631,142,674,,,,,,,756,591,,,1055,422,944,463,665,482,668,591,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img011464.png,901,371,1110,391,766,331,594,332,507,418,418,557,243,630,42,680,,,,,,,676,633,,,878,638,841,554,611,507,597,620,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img013757.png,,,,,,,651,314,500,463,412,626,211,678,,,,,,,753,624,665,711,,,1100,416,951,371,595,572,597,705,,,1068,515
labeled-data,Rat 9 2025-11-11 11-09-35,img014903.png,827,377,,,669,338,529,293,364,387,248,550,73,604,,,,,,,,,514,674,,,802,650,721,576,450,505,422,640,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img016050.png,,,,,,,640,360,564,480,486,647,,,,,,,,,,,,,,,1102,401,962,304,715,566,,,,,1068,439
labeled-data,Rat 9 2025-11-11 11-09-35,img017196.png,,,,,834,264,655,310,520,453,483,597,295,700,119,684,,,,,,,,,,,,,952,369,645,580,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img025221.png,768,399,799,616,712,331,598,288,465,342,386,463,314,405,356,308,,,,,,,588,596,,,715,610,651,507,500,424,514,563,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img026368.png,561,35,,,489,170,448,274,403,394,349,506,193,563,113,519,234,459,,,611,539,583,591,,,,,,,504,445,523,579,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img030953.png,979,293,,,823,260,638,277,526,379,476,500,375,463,257,468,,,,,,,654,614,,,1043,482,888,456,614,465,597,576,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img033246.png,,,789,503,,,385,298,366,466,628,584,820,597,1018,624,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img034392.png,,,,,803,284,622,305,493,421,426,557,257,583,62,597,187,547,,,,,648,675,,,,,950,409,564,525,578,653,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img037832.png,,,,,,,694,270,551,368,452,495,260,537,75,576,,,,,,,731,567,,,,,,,635,456,635,546,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img038978.png,,,,,,,,,466,412,369,553,228,498,,,,,,,696,593,662,681,,,,,925,364,587,517,593,665,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img041271.png,,,,,,,308,357,180,502,159,660,409,688,,,,,,,,,,,,,,,,,368,537,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img044710.png,,,,,,,,,,,,,,,,,,,,,476,589,314,655,,,580,138,443,156,312,476,294,601,423,572,638,194
labeled-data,Rat 9 2025-11-11 11-09-35,img045857.png,,,,,,,617,307,477,446,364,574,170,587,89,549,214,499,,,,,668,667,,,,,,,604,540,577,661,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img049296.png,,,,,,,657,324,554,483,426,627,207,697,,,,,,,,,,,,,,,,,715,516,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img051589.png,671,432,699,599,605,328,546,251,,,,,,,,,,,,,,,,,,,567,590,519,519,,,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img056174.png,843,317,1060,361,752,317,600,295,456,364,,,351,439,,,,,,,,,548,633,,,829,685,750,547,521,489,487,589,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img057321.png,277,268,113,267,351,271,456,283,567,441,638,586,733,687,,,,,376,449,361,589,,,265,470,,,,,,,,,453,589,231,574
labeled-data,Rat 9 2025-11-11 11-09-35,img059614.png,868,307,,,706,310,533,301,412,415,315,577,157,584,142,510,310,480,,,,,621,675,,,780,694,753,574,570,519,536,648,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img060760.png,832,344,,,691,315,540,307,405,468,328,621,125,701,,,,,,,,,635,673,,,836,658,782,564,568,529,547,658,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img061906.png,290,313,,,381,301,536,267,649,355,,,617,498,393,473,,,,,526,613,,,,,,,,,,,,,604,581,295,573
labeled-data,Rat 9 2025-11-11 11-09-35,img063053.png,625,456,806,562,519,367,460,283,,,,,,,,,,,,,,,,,,,512,708,455,580,,,,,,,580,661
labeled-data,Rat 9 2025-11-11 11-09-35,img065346.png,405,297,,,534,277,671,290,759,394,837,519,1008,547,1076,678,,,654,459,587,576,,,455,456,,,,,,,,,659,573,422,563
labeled-data,Rat 9 2025-11-11 11-09-35,img066492.png,,,,,,,634,273,631,361,752,488,915,539,1065,640,,,621,465,612,562,,,,,,,,,,,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img068785.png,911,75,1097,9,793,173,667,256,603,368,548,476,401,433,317,374,,,,,,,762,617,,,1045,414,920,314,713,443,699,567,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img069931.png,456,338,,,,,290,294,315,418,423,552,553,646,,,972,684,,,,,,,,,,,,,,,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img072224.png,,,,,745,315,608,271,520,368,452,486,328,513,,,,,,,,,685,526,,,,,792,433,635,425,605,506,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img076810.png,,,,,,,,,551,469,439,643,228,683,38,648,,,,,,,,,,,,,1014,273,,,,,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img077956.png,915,466,,,789,369,580,314,436,461,311,650,106,683,,,,,,,,,721,694,,,,,853,559,645,547,628,690,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img079103.png,,,,,763,369,597,323,442,486,317,646,72,664,,,,,,,,,732,697,,,,,839,566,659,547,630,691,,,,
labeled-data,Rat 9 2025-11-11 11-09-35,img082542.png,,,,,758,398,566,313,384,480,280,628,,,,,,,,,,,,,,,,,785,580,550,579,,,,,,
