rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ai6,img004.png,,,684,82,,,,,,,,,494,515,475,520,,,705,473,694,592,512,604,748,245,668,201,605,227,523,465,530,575,638,572,754,214
labeled-data,ai6,img007.png,,,667,117,,,,,,,,,491,520,469,526,,,698,480,698,596,518,604,737,221,640,240,574,246,510,470,538,583,635,580,729,246
labeled-data,ai6,img013.png,,,704,274,,,,,,,,,484,522,463,529,,,684,510,684,591,517,598,709,332,634,335,547,327,504,500,525,580,633,568,698,387
labeled-data,ai6,img016.png,625,241,772,413,533,280,483,354,468,434,,,479,523,461,530,,,675,520,702,595,519,604,,,671,454,581,411,493,508,526,577,637,573,709,500
labeled-data,ai6,img019.png,710,361,822,574,681,315,594,291,508,365,,,480,530,468,534,,,,,,,515,606,,,734,622,653,524,492,474,530,581,,,661,597
labeled-data,ai6,img021.png,729,421,852,623,684,377,627,327,560,342,,,480,530,468,534,,,,,,,515,603,,,737,638,640,578,492,497,525,579,,,,
labeled-data,ai6,img024.png,752,441,858,623,679,374,587,347,515,394,,,482,524,470,531,,,,,,,519,605,,,744,639,657,592,514,481,526,579,,,,
labeled-data,ai6,img031.png,761,455,904,616,701,386,611,351,520,397,,,,,,,,,,,,,518,604,,,744,645,655,606,521,485,524,575,,,,
labeled-data,ai6,img033.png,778,458,938,613,718,427,647,375,563,373,,,,,,,,,,,,,515,603,,,743,638,666,594,492,489,523,583,,,,
labeled-data,ai6,img034.png,780,450,944,613,716,423,647,379,563,373,,,,,,,,,,,,,515,603,,,743,638,680,593,497,496,522,585,,,,
labeled-data,ai6,img036.png,808,466,961,616,722,413,626,367,528,399,,,483,457,429,444,373,471,,,,,516,606,,,744,641,696,596,505,499,522,580,,,,
labeled-data,ai6,img041.png,854,463,1038,597,774,428,690,389,592,381,,,508,449,427,369,330,358,,,,,515,605,,,883,621,796,579,516,492,523,583,,,,
labeled-data,ai6,img043.png,901,471,1062,596,816,437,713,396,607,387,,,513,453,392,372,287,443,,,,,518,604,,,923,639,856,613,506,508,522,579,,,930,619
labeled-data,ai6,img044.png,903,465,1068,593,808,432,688,388,572,409,515,462,401,395,297,417,302,535,,,,,515,606,,,924,640,854,613,540,502,524,576,,,936,620
labeled-data,ai6,img048.png,902,460,1056,613,816,437,713,396,609,395,495,493,413,457,325,456,319,534,,,,,518,604,,,922,639,846,610,521,515,519,573,,,933,620
labeled-data,ai6,img050.png,877,455,1043,618,778,413,670,388,568,413,499,494,412,457,332,457,325,538,,,,,520,608,,,916,636,854,621,566,502,520,577,,,930,623
labeled-data,ai6,img056.png,905,467,1064,627,793,427,690,398,587,415,503,492,414,466,331,468,323,537,,,,,516,608,,,920,638,843,619,575,502,519,576,,,926,627
labeled-data,ai6,img061.png,916,469,1096,567,809,437,703,402,582,422,502,498,412,472,330,473,322,538,,,,,521,610,,,923,639,852,619,563,517,519,572,,,935,618
labeled-data,ai6,img069.png,866,408,1050,405,775,410,670,396,573,424,495,508,392,491,326,535,,,,,,,517,609,937,618,923,640,846,595,541,512,517,574,,,,
labeled-data,ai6,img073.png,821,362,1011,303,725,362,615,390,526,479,,,482,523,301,540,,,,,430,661,514,601,,,922,637,855,543,577,515,510,569,,,935,622
labeled-data,ai6,img074.png,816,340,1013,272,724,353,633,380,555,445,492,525,393,520,294,543,,,,,720,590,521,609,,,924,613,860,528,589,503,515,572,,,,
labeled-data,ai6,img076.png,816,292,1012,217,735,328,622,378,543,475,,,489,538,297,535,,,,,714,589,519,608,,,961,405,857,400,576,512,514,571,,,946,421
labeled-data,ai6,img078.png,824,229,1030,189,746,295,648,352,571,436,502,540,423,551,342,543,283,538,,,716,587,517,604,,,992,292,940,338,552,513,517,565,,,,
labeled-data,ai6,img089.png,861,148,1046,160,769,233,677,310,608,425,557,543,468,566,375,547,287,534,765,512,773,589,653,628,,,999,294,932,304,673,507,613,605,692,584,1017,274
labeled-data,ai6,img091.png,866,153,1037,206,759,240,652,334,598,437,556,553,460,565,364,540,285,539,765,517,775,586,655,627,,,1002,294,939,305,674,512,609,604,690,583,1020,272
labeled-data,ai6,img095.png,849,170,1031,237,748,248,639,337,594,443,550,558,459,568,371,545,285,540,759,519,775,588,655,629,,,995,284,935,311,667,527,611,605,695,585,,
labeled-data,ai6,img098.png,839,168,1041,194,753,242,652,318,595,438,553,557,467,568,367,545,286,541,755,521,777,588,655,628,,,986,286,926,304,677,515,608,605,693,589,1009,276
labeled-data,ai6,img101.png,823,171,1040,159,756,238,670,317,609,423,563,551,452,565,362,541,284,541,759,524,768,589,651,628,,,980,238,903,279,669,513,614,599,691,580,995,279
labeled-data,ai6,img104.png,856,144,1062,153,773,222,684,299,615,412,566,542,472,563,376,543,293,544,776,508,765,587,649,625,,,1017,216,950,266,681,507,612,600,691,581,996,278
labeled-data,ai6,img108.png,868,127,1073,129,784,206,687,308,626,405,568,535,489,559,399,548,316,541,778,504,761,592,656,626,,,1014,217,945,251,672,493,613,604,694,579,996,278
labeled-data,ai6,img113.png,868,108,1065,138,781,209,699,294,631,409,577,534,501,558,410,550,320,542,788,493,769,587,656,627,,,1014,216,936,252,688,488,615,596,697,576,988,281
labeled-data,ai6,img118.png,787,180,994,222,716,236,652,319,611,430,568,552,489,566,403,549,327,541,769,511,762,588,647,625,,,1012,272,918,291,670,506,613,598,695,581,993,299
labeled-data,ai6,img120.png,787,175,1002,241,707,236,643,314,607,421,568,551,489,566,403,549,320,541,765,511,765,588,639,624,,,1013,271,924,296,675,506,614,595,695,579,990,299
labeled-data,ai6,img126.png,829,168,1043,186,747,234,664,305,613,419,566,550,489,566,403,549,319,541,769,510,766,587,641,623,,,1016,272,932,294,672,512,619,595,698,579,992,301
labeled-data,ai6,img127.png,823,169,1042,183,747,234,666,304,613,419,566,550,479,566,403,549,322,539,767,513,767,588,650,626,,,1016,268,934,298,676,511,619,598,698,579,992,301
labeled-data,ai6,img136.png,842,151,1048,180,764,223,666,305,608,426,569,546,484,566,398,547,320,540,769,506,773,589,651,627,,,1015,270,933,293,678,505,618,599,697,579,991,298
labeled-data,ai6,img144.png,843,156,1050,163,742,237,655,322,608,433,569,548,482,567,397,548,320,541,769,509,770,587,653,628,,,1013,273,939,294,681,486,614,598,696,580,990,304
labeled-data,ai6,img147.png,804,178,1010,191,746,234,666,304,610,410,566,550,479,566,403,549,322,539,767,513,767,588,650,623,,,1020,270,934,298,682,499,619,598,696,581,990,305
